Year,Category,Round,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
2015,Non-lottery Players,Round4,37,PHI,Richaun Holmes,Bowling Green,5,265,4950,2229,1313,251,0.584,0.257,0.724,18.7,8.4,5,0.9,17,0.165,0.7,3.3
2015,Non-lottery Players,Round4,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-4.7,-0.6
2015,Non-lottery Players,Round4,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
2015,Non-lottery Players,Round4,40,MIA,Josh Richardson,Tennessee,5,307,9423,3797,985,890,0.426,0.362,0.814,30.7,12.4,3.2,2.9,17.6,0.09,-0.2,4.2
2015,Non-lottery Players,Round5,41,BRK,Pat Connaughton,Notre Dame,5,277,4327,1305,762,346,0.443,0.343,0.784,15.6,4.7,2.8,1.2,9.8,0.109,-0.5,1.7
2015,Non-lottery Players,Round5,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
2015,Non-lottery Players,Round5,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-4.1,-0.6
2015,Non-lottery Players,Round5,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.8,-0.6
2015,Non-lottery Players,Round5,45,BOS,Marcus Thornton,College of William & Mary,,,,,,,,,,,,,,,,,
2015,Non-lottery Players,Round5,46,MIL,Norman Powell,UCLA,5,299,5550,2531,699,387,0.457,0.359,0.816,18.6,8.5,2.3,1.3,11.5,0.099,-0.3,2.3
2015,Non-lottery Players,Round5,47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,,,,
2015,Non-lottery Players,Round5,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1
2015,Non-lottery Players,Round5,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
2015,Non-lottery Players,Round5,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
2015,Non-lottery Players,Round6,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
